city,Meal at an Inexpensive Restaurant,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",Combo Meal at McDonald's (or Equivalent Fast-Food Meal),Domestic Draft Beer (0.5 Liter),Imported Beer (0.33 Liter Bottle),Cappuccino (Regular Size),"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",Bottled Water (0.33 Liter),"Milk (Regular, 1 Liter)",Fresh White Bread (500 g Loaf),White Rice (1 kg),"Eggs (12, Large Size)",Local Cheese (1 kg),Chicken Fillets (1 kg),Beef Round or Equivalent Back Leg Red Meat (1 kg),Apples (1 kg),Bananas (1 kg),Oranges (1 kg),Tomatoes (1 kg),Potatoes (1 kg),Onions (1 kg),Lettuce (1 Head),Bottled Water (1.5 Liter),Bottle of Wine (Mid-Range),Domestic Beer (0.5 Liter Bottle),"Cigarettes (Pack of 20, Marlboro)",One-Way Ticket (Local Transport),Monthly Public Transport Pass (Regular Price),Taxi Start (Standard Tariff),Taxi 1 km (Standard Tariff),Taxi 1 Hour Waiting (Standard Tariff),Gasoline (1 Liter),Volkswagen Golf 1.5 (or Equivalent New Compact Car),Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"Basic Utilities for 85 m2Apartment (Electricity, Heating, Cooling, Water, Garbage)","Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)","Broadband Internet (Unlimited Data, 60 Mbps or Higher)",Monthly Fitness Club Membership,"Tennis Court Rental (1 Hour, Weekend)",Cinema Ticket (International Release),"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","International Primary School, Annual Tuition per Child",Jeans (Levi's 501 or Similar),Summer Dress in a Chain Store (e.g. Zara or H&M),Nike Running Shoes (Mid-Range),Men's Leather Business Shoes,1 Bedroom Apartment in City Centre,1 Bedroom Apartment Outside of City Centre,3 Bedroom Apartment in City Centre,3 Bedroom Apartment Outside of City Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Annual Mortgage Interest Rate (20-Year Fixed, in %)",Domestic Draft Non-Alcoholic Beer (0.5 Liter),Imported Non-Alcoholic Beer (0.33 Liter Bottle),Bottle of Non-Alcoholic Wine (Mid-Range),Domestic Non-Alcoholic Beer (0.5 Liter Bottle),Buffalo Round or Equivalent Back Leg Red Meat (1 kg)
Vilnius,12.00 €,65.00 €,7.00 €,5.00 €,1.87 €,3.13 €,1.75 €,2.22 €,1.30 €,1.35 €,2.23 €,2.69 €,9.85 €,6.45 €,10.54 €,1.45 €,1.36 €,1.76 €,2.74 €,0.76 €,0.79 €,1.49 €,0.78 €,8.00 €,1.45 €,5.45 €,1.00 €,38.00 €,2.75 €,1.10 €,12.60 €,1.45 €,"24,388.00 €","27,900.00 €",210.13 €,12.50 €,16.37 €,38.12 €,31.23 €,8.50 €,544.73 €,"10,416.83 €",71.67 €,37.42 €,90.12 €,113.88 €,729.59 €,556.06 €,"1,275.47 €",867.99 €,"5,342.67 €","2,966.67 €","1,651.91 €",4.21,,,,,
Ljubljana,15.00 €,60.00 €,9.00 €,3.00 €,1.83 €,2.36 €,2.71 €,1.76 €,1.30 €,1.92 €,2.82 €,3.34 €,13.12 €,9.14 €,11.75 €,1.84 €,1.51 €,1.95 €,3.07 €,1.21 €,1.43 €,1.58 €,0.82 €,6.50 €,1.34 €,5.40 €,1.50 €,37.00 €,1.95 €,1.09 €,16.99 €,1.52 €,"26,148.00 €","21,996.67 €",287.36 €,16.30 €,37.72 €,46.74 €,17.77 €,8.00 €,545.91 €,"12,175.00 €",95.67 €,37.08 €,95.35 €,124.04 €,934.58 €,752.81 €,"1,829.55 €","1,315.00 €","5,603.05 €","4,265.26 €","1,662.21 €",3.73,,,,,
Bangkok,120.00 ฿,"1,200.00 ฿",250.00 ฿,100.00 ฿,107.00 ฿,94.42 ฿,23.16 ฿,14.12 ฿,62.11 ฿,56.21 ฿,46.29 ฿,84.47 ฿,545.84 ฿,105.50 ฿,340.91 ฿,115.76 ฿,60.49 ฿,73.82 ฿,64.02 ฿,52.13 ฿,47.64 ฿,42.47 ฿,19.44 ฿,550.00 ฿,59.25 ฿,150.00 ฿,40.00 ฿,"1,155.00 ฿",35.00 ฿,40.00 ฿,200.00 ฿,38.95 ฿,"1,050,000.00 ฿","896,454.55 ฿","3,115.32 ฿",429.96 ฿,610.27 ฿,"2,100.00 ฿",480.95 ฿,255.00 ฿,"17,597.22 ฿","499,072.73 ฿","2,110.09 ฿","1,269.43 ฿","3,264.71 ฿","3,162.50 ฿","22,537.00 ฿","10,555.69 ฿","65,368.42 ฿","24,826.92 ฿","194,555.56 ฿","103,125.00 ฿","24,992.06 ฿",5.67,,,,,
Kuala Lumpur,20.00 RM,120.00 RM,20.00 RM,18.00 RM,20.26 RM,13.26 RM,3.27 RM,1.87 RM,8.92 RM,4.42 RM,7.04 RM,10.43 RM,61.33 RM,19.30 RM,38.81 RM,13.01 RM,7.07 RM,10.91 RM,6.59 RM,5.33 RM,6.03 RM,4.97 RM,2.88 RM,75.00 RM,13.74 RM,18.00 RM,3.00 RM,50.00 RM,5.00 RM,5.00 RM,20.00 RM,2.49 RM,"170,000.00 RM","140,950.00 RM",264.21 RM,35.86 RM,107.68 RM,194.92 RM,26.75 RM,21.00 RM,"1,208.21 RM","44,729.77 RM",267.05 RM,178.44 RM,358.61 RM,387.71 RM,"2,729.41 RM","1,512.50 RM","5,236.17 RM","2,734.02 RM","15,758.63 RM","6,085.00 RM","6,269.00 RM",4.47,,,,,
Singapore,13.00 S$,80.00 S$,10.00 S$,10.00 S$,5.73 S$,6.05 S$,2.08 S$,1.51 S$,3.81 S$,3.05 S$,3.11 S$,4.51 S$,23.50 S$,13.18 S$,31.93 S$,5.51 S$,3.92 S$,6.28 S$,2.87 S$,3.30 S$,3.19 S$,2.57 S$,1.74 S$,32.50 S$,5.87 S$,17.62 S$,2.00 S$,122.00 S$,4.60 S$,1.00 S$,21.50 S$,2.90 S$,"200,000.00 S$","174,275.13 S$",196.30 S$,16.09 S$,36.28 S$,131.31 S$,14.78 S$,15.00 S$,"1,946.42 S$","38,431.67 S$",101.06 S$,60.53 S$,131.52 S$,148.82 S$,"3,427.63 S$","2,619.64 S$","7,013.46 S$","4,768.28 S$","30,068.77 S$","20,729.85 S$","5,420.63 S$",2.66,,,,,
Bali,"55,000.00 Rp","500,000.00 Rp","73,132.42 Rp","40,000.00 Rp","49,080.01 Rp","39,633.67 Rp","20,819.67 Rp","9,222.22 Rp","24,385.42 Rp","38,428.95 Rp","19,271.08 Rp","33,038.14 Rp","294,220.04 Rp","66,800.00 Rp","207,500.00 Rp","61,219.89 Rp","26,675.47 Rp","39,250.60 Rp","33,406.85 Rp","31,300.60 Rp","37,488.79 Rp","16,820.24 Rp","9,333.48 Rp","386,500.00 Rp","41,250.00 Rp","38,000.00 Rp","4,575.24 Rp","144,389.65 Rp","7,812.91 Rp","7,875.80 Rp","100,000.00 Rp","12,490.00 Rp","432,330,993.71 Rp","587,475,000.00 Rp","1,248,206.21 Rp","103,314.29 Rp","316,666.67 Rp","925,000.00 Rp","246,000.00 Rp","70,000.00 Rp","8,535,117.69 Rp","98,425,648.36 Rp","776,429.19 Rp","599,232.62 Rp","1,399,999.75 Rp","1,342,534.74 Rp","18,537,089.61 Rp","11,743,475.13 Rp","57,395,868.00 Rp","27,062,778.73 Rp","44,941,692.49 Rp","35,098,704.83 Rp","3,763,372.08 Rp",13.28,,,,,
Ho Chi Minh City,"50,000.00 ₫","513,296.76 ₫","120,000.00 ₫","30,000.00 ₫","43,664.86 ₫","45,142.86 ₫","14,626.90 ₫","8,912.61 ₫","40,562.50 ₫","26,280.00 ₫","27,279.22 ₫","39,248.00 ₫","311,523.58 ₫","93,500.00 ₫","276,960.00 ₫","72,250.00 ₫","30,705.74 ₫","32,491.27 ₫","31,173.91 ₫","30,000.00 ₫","33,000.00 ₫","20,250.00 ₫","13,952.17 ₫","340,000.00 ₫","24,091.93 ₫","35,000.00 ₫","7,000.00 ₫","300,000.00 ₫","19,000.00 ₫","16,500.00 ₫","80,000.00 ₫","22,164.07 ₫","850,000,000.00 ₫","837,769,230.77 ₫","2,442,906.41 ₫","156,538.46 ₫","251,136.36 ₫","544,920.00 ₫","274,117.65 ₫","90,000.00 ₫","9,150,793.67 ₫","478,630,966.27 ₫","1,259,766.28 ₫","808,045.17 ₫","2,480,891.49 ₫","2,123,529.41 ₫","14,539,220.24 ₫","7,583,868.25 ₫","29,714,285.71 ₫","16,940,000.00 ₫","110,412,234.93 ₫","49,485,714.29 ₫","12,753,808.18 ₫",8.77,,,,,
Hanoi,"55,000.00 ₫","700,000.00 ₫","119,000.00 ₫","25,000.00 ₫","44,481.75 ₫","48,159.10 ₫","12,080.00 ₫","6,600.00 ₫","37,772.73 ₫","23,649.89 ₫","21,674.11 ₫","38,060.87 ₫","333,407.20 ₫","99,145.80 ₫","260,208.99 ₫","84,120.06 ₫","28,250.32 ₫","36,210.27 ₫","29,212.96 ₫","25,347.25 ₫","28,006.16 ₫","15,458.67 ₫","14,115.94 ₫","375,000.00 ₫","24,424.24 ₫","36,400.00 ₫","10,000.00 ₫","208,695.65 ₫","20,000.00 ₫","15,000.00 ₫","60,000.00 ₫","20,697.50 ₫","798,000,000.00 ₫","796,666,666.67 ₫","1,856,550.41 ₫","144,082.42 ₫","237,000.00 ₫","764,124.13 ₫","259,090.91 ₫","102,500.00 ₫","15,198,682.78 ₫","540,773,657.59 ₫","1,300,352.09 ₫","655,959.14 ₫","2,275,394.03 ₫","2,160,104.09 ₫","11,767,695.55 ₫","7,693,681.43 ₫","23,183,846.93 ₫","14,637,901.89 ₫","113,333,333.33 ₫","63,333,333.33 ₫","13,081,921.66 ₫",7.83,,,,,
Jakarta,"32,500.00 Rp","300,000.00 Rp","58,000.00 Rp","47,500.00 Rp","58,000.25 Rp","34,318.18 Rp","8,422.73 Rp","4,392.86 Rp","24,218.75 Rp","19,375.00 Rp","15,245.82 Rp","30,184.00 Rp","134,376.16 Rp","55,125.00 Rp","136,029.53 Rp","49,386.36 Rp","26,131.58 Rp","40,452.63 Rp","28,705.88 Rp","29,275.00 Rp","44,390.48 Rp","17,220.00 Rp","8,112.50 Rp","390,000.00 Rp","39,269.23 Rp","50,000.00 Rp","3,500.00 Rp","210,000.00 Rp","9,000.00 Rp","6,000.00 Rp","60,000.00 Rp","12,975.00 Rp","500,000,000.00 Rp","595,100,000.00 Rp","1,637,756.34 Rp","96,450.15 Rp","336,305.56 Rp","446,818.18 Rp","209,375.00 Rp","52,500.00 Rp","2,880,192.31 Rp","128,400,000.00 Rp","902,272.68 Rp","571,428.57 Rp","1,247,727.27 Rp","1,632,352.94 Rp","6,400,000.00 Rp","3,703,529.41 Rp","20,381,578.95 Rp","10,881,250.00 Rp","48,816,666.67 Rp","24,353,846.15 Rp","8,095,922.96 Rp",9.8,,,,,
Manila,350.00 ₱,"1,635.00 ₱",250.00 ₱,90.00 ₱,136.11 ₱,154.43 ₱,84.18 ₱,51.57 ₱,115.75 ₱,78.08 ₱,60.81 ₱,130.41 ₱,512.52 ₱,292.25 ₱,431.60 ₱,193.00 ₱,120.70 ₱,189.76 ₱,128.10 ₱,144.48 ₱,170.00 ₱,136.14 ₱,37.50 ₱,600.00 ₱,84.90 ₱,190.00 ₱,30.00 ₱,800.00 ₱,45.00 ₱,14.50 ₱,120.00 ₱,62.94 ₱,"1,340,000.00 ₱","1,263,181.82 ₱","6,863.81 ₱",861.94 ₱,"1,514.56 ₱","2,562.73 ₱",333.33 ₱,410.00 ₱,"31,655.61 ₱","703,087.00 ₱","3,141.67 ₱","1,621.00 ₱","4,484.54 ₱","3,158.31 ₱","33,969.95 ₱","16,131.19 ₱","120,111.00 ₱","40,866.67 ₱","266,125.00 ₱","158,833.33 ₱","27,228.14 ₱",7.4,,,,,
Chiang Mai,70.00 ฿,625.00 ฿,250.00 ฿,70.00 ฿,94.35 ฿,59.05 ฿,25.00 ฿,10.95 ฿,61.30 ฿,55.65 ฿,37.76 ฿,69.53 ฿,497.36 ฿,95.42 ฿,372.77 ฿,84.76 ฿,32.29 ฿,56.02 ฿,50.72 ฿,43.33 ฿,36.71 ฿,26.93 ฿,16.54 ฿,600.00 ฿,56.75 ฿,142.80 ฿,30.00 ฿,"1,800.00 ฿",40.00 ฿,30.00 ฿,60.00 ฿,40.18 ฿,"700,000.00 ฿","882,333.33 ฿","2,131.08 ฿",451.12 ฿,602.42 ฿,"1,462.50 ฿",128.12 ฿,230.00 ฿,"26,302.14 ฿","498,811.11 ฿","1,845.79 ฿",835.44 ฿,"3,182.00 ฿","2,574.72 ฿","14,840.79 ฿","8,770.59 ฿","29,941.67 ฿","17,307.69 ฿","65,120.00 ฿","48,620.00 ฿","20,391.63 ฿",5.82,,,,,
Phuket,200.00 ฿,"1,350.00 ฿",290.00 ฿,70.00 ฿,98.63 ฿,101.32 ฿,23.24 ฿,14.20 ฿,64.27 ฿,57.68 ฿,51.99 ฿,68.94 ฿,652.71 ฿,103.17 ฿,371.84 ฿,98.10 ฿,56.85 ฿,74.43 ฿,70.53 ฿,48.69 ฿,45.32 ฿,36.18 ฿,18.30 ฿,622.96 ฿,58.82 ฿,145.60 ฿,47.50 ฿,754.21 ฿,100.00 ฿,35.00 ฿,127.46 ฿,42.53 ฿,"900,000.00 ฿","894,000.00 ฿","3,705.63 ฿",373.33 ฿,592.11 ฿,"2,112.93 ฿",372.22 ฿,250.00 ฿,"18,694.44 ฿","379,876.27 ฿","2,118.51 ฿",965.84 ฿,"3,095.54 ฿","2,957.69 ฿","22,683.33 ฿","15,440.00 ฿","70,025.00 ฿","38,577.78 ฿","120,000.00 ฿","86,000.00 ฿","16,881.30 ฿",5.57,,,,,
Phnom Penh,5.00 $,40.00 $,7.00 $,1.50 $,1.81 $,2.96 $,1.40 $,0.84 $,2.17 $,1.67 $,1.06 $,1.69 $,13.40 $,4.13 $,8.88 $,3.95 $,1.72 $,4.46 $,1.89 $,2.11 $,1.25 $,1.20 $,0.72 $,12.00 $,1.02 $,2.00 $,0.40 $,9.60 $,1.11 $,1.00 $,5.10 $,1.07 $,"35,000.00 $","36,975.00 $",110.49 $,8.08 $,27.13 $,40.62 $,11.83 $,5.00 $,632.50 $,"10,987.71 $",28.75 $,23.00 $,93.00 $,55.83 $,616.31 $,344.54 $,"1,190.79 $",746.60 $,"2,874.67 $","1,509.50 $",348.97 $,8.08,,,,,
Siem Reap,2.50 $,23.00 $,8.00 $,1.00 $,2.27 $,1.67 $,0.78 $,0.54 $,2.06 $,1.72 $,0.80 $,1.77 $,13.30 $,2.89 $,9.95 $,3.30 $,1.33 $,3.06 $,1.25 $,1.68 $,0.95 $,1.33 $,0.79 $,7.45 $,0.96 $,1.50 $,1.00 $,15.00 $,2.00 $,1.00 $,5.00 $,1.06 $,"20,000.00 $","20,000.00 $",93.08 $,6.12 $,14.60 $,35.00 $,14.00 $,5.00 $,250.00 $,"4,490.00 $",26.25 $,13.33 $,70.00 $,44.67 $,341.40 $,233.60 $,649.60 $,413.60 $,"2,485.67 $","1,084.80 $",220.08 $,9.2,,,,,
Tokyo,"1,200.00 ¥","8,000.00 ¥",800.00 ¥,600.00 ¥,448.12 ¥,560.00 ¥,227.85 ¥,131.52 ¥,244.31 ¥,230.80 ¥,927.78 ¥,368.80 ¥,"1,887.69 ¥","1,195.79 ¥","3,485.08 ¥",844.59 ¥,415.08 ¥,735.70 ¥,916.64 ¥,537.42 ¥,530.26 ¥,200.21 ¥,130.92 ¥,"1,500.00 ¥",295.52 ¥,610.00 ¥,220.00 ¥,"14,740.00 ¥",500.00 ¥,500.00 ¥,"2,940.00 ¥",177.38 ¥,"3,434,000.00 ¥","2,512,555.56 ¥","26,310.77 ¥","3,759.05 ¥","4,770.59 ¥","11,280.48 ¥","4,420.83 ¥","2,000.00 ¥","181,583.41 ¥","2,645,789.47 ¥","7,884.21 ¥","5,916.53 ¥","8,592.33 ¥","12,807.69 ¥","216,000.00 ¥","121,000.00 ¥","383,346.15 ¥","220,382.61 ¥","2,173,305.77 ¥","916,307.69 ¥","425,802.54 ¥",1.75,,,,,
Hong Kong,65.00 HK$,500.00 HK$,50.00 HK$,55.29 HK$,17.91 HK$,38.90 HK$,9.98 HK$,8.48 HK$,22.77 HK$,17.91 HK$,17.62 HK$,25.90 HK$,176.88 HK$,74.07 HK$,157.71 HK$,29.22 HK$,18.66 HK$,29.29 HK$,22.85 HK$,18.41 HK$,18.61 HK$,12.41 HK$,14.41 HK$,120.00 HK$,13.95 HK$,102.00 HK$,12.25 HK$,550.00 HK$,29.00 HK$,10.50 HK$,126.00 HK$,25.50 HK$,"300,000.00 HK$","285,187.78 HK$","1,814.10 HK$",109.96 HK$,152.30 HK$,695.53 HK$,81.86 HK$,107.50 HK$,"7,754.36 HK$","177,081.01 HK$",551.88 HK$,326.00 HK$,647.00 HK$,993.67 HK$,"17,148.15 HK$","13,083.33 HK$","38,750.00 HK$","25,375.00 HK$","198,061.02 HK$","125,315.91 HK$","26,483.96 HK$",3.82,,,,,
Seoul,"13,000.00 ₩","90,000.00 ₩","10,000.00 ₩","5,000.00 ₩","4,028.84 ₩","5,400.00 ₩","2,294.74 ₩","1,155.26 ₩","2,919.70 ₩","4,504.76 ₩","4,656.67 ₩","4,278.46 ₩","20,024.53 ₩","14,251.02 ₩","40,839.58 ₩","11,066.00 ₩","4,918.72 ₩","8,008.11 ₩","9,414.71 ₩","5,112.78 ₩","3,931.21 ₩","3,695.62 ₩","1,684.78 ₩","29,000.00 ₩","3,071.06 ₩","4,500.00 ₩","1,550.00 ₩","65,000.00 ₩","4,800.00 ₩",800.00 ₩,"12,000.00 ₩","1,702.31 ₩","39,370,000.00 ₩","38,978,000.00 ₩","230,981.29 ₩","44,496.14 ₩","28,686.36 ₩","82,241.18 ₩","27,576.92 ₩","15,000.00 ₩","1,905,460.32 ₩","31,425,923.92 ₩","67,380.95 ₩","45,447.62 ₩","100,811.11 ₩","102,076.92 ₩","1,284,468.09 ₩","854,872.34 ₩","3,061,382.98 ₩","1,670,425.53 ₩","27,066,346.15 ₩","14,462,264.15 ₩","4,409,588.08 ₩",3.99,,,,,
Osaka,"1,000.00 ¥","5,000.00 ¥",700.00 ¥,400.00 ¥,416.67 ¥,472.17 ¥,196.91 ¥,114.35 ¥,237.50 ¥,210.24 ¥,900.00 ¥,336.86 ¥,"1,520.46 ¥","1,000.00 ¥","2,880.00 ¥",531.80 ¥,310.14 ¥,325.00 ¥,637.50 ¥,242.67 ¥,182.67 ¥,195.00 ¥,127.50 ¥,"1,500.00 ¥",301.76 ¥,620.00 ¥,240.00 ¥,"5,150.00 ¥",650.00 ¥,300.00 ¥,"3,400.00 ¥",174.08 ¥,"3,434,000.00 ¥","2,376,800.00 ¥","20,651.79 ¥","3,833.33 ¥","5,075.00 ¥","8,916.67 ¥","2,916.67 ¥","2,000.00 ¥","81,614.28 ¥","2,066,666.67 ¥","6,660.87 ¥","4,250.00 ¥","10,888.16 ¥","14,296.60 ¥","118,250.00 ¥","89,000.00 ¥","277,000.00 ¥","147,484.71 ¥","966,333.33 ¥","329,500.00 ¥","318,585.79 ¥",2.05,,,,,
Beijing,30.00 ¥,180.00 ¥,35.00 ¥,7.50 ¥,12.57 ¥,21.21 ¥,3.86 ¥,2.12 ¥,13.29 ¥,12.01 ¥,8.71 ¥,14.87 ¥,92.50 ¥,24.41 ¥,78.77 ¥,15.07 ¥,12.02 ¥,13.05 ¥,10.17 ¥,5.49 ¥,6.30 ¥,4.63 ¥,3.83 ¥,72.12 ¥,6.15 ¥,26.50 ¥,4.50 ¥,230.00 ¥,13.00 ¥,2.34 ¥,49.00 ¥,7.72 ¥,"129,900.00 ¥","115,904.38 ¥",358.21 ¥,64.30 ¥,94.88 ¥,370.46 ¥,141.05 ¥,57.50 ¥,"4,785.68 ¥","166,812.50 ¥",398.14 ¥,248.45 ¥,568.58 ¥,721.94 ¥,"7,492.62 ¥","3,928.12 ¥","15,478.95 ¥","8,057.89 ¥","83,632.41 ¥","42,772.44 ¥","10,991.18 ¥",3.37,,,,,
Shanghai,30.00 ¥,200.00 ¥,35.00 ¥,10.00 ¥,11.96 ¥,20.78 ¥,3.69 ¥,2.20 ¥,14.15 ¥,11.83 ¥,6.82 ¥,12.34 ¥,107.51 ¥,21.12 ¥,81.76 ¥,16.00 ¥,12.26 ¥,12.14 ¥,10.61 ¥,5.50 ¥,7.20 ¥,4.05 ¥,4.74 ¥,80.00 ¥,6.38 ¥,25.00 ¥,3.00 ¥,200.00 ¥,15.00 ¥,3.00 ¥,60.00 ¥,7.77 ¥,"130,000.00 ¥","124,233.13 ¥",371.33 ¥,58.91 ¥,75.13 ¥,436.06 ¥,122.00 ¥,60.00 ¥,"8,896.30 ¥","189,761.90 ¥",287.74 ¥,266.69 ¥,490.43 ¥,708.28 ¥,"6,064.29 ¥","3,780.77 ¥","15,160.00 ¥","7,954.55 ¥","96,045.45 ¥","48,746.14 ¥","11,432.58 ¥",3.27,,,,,
Krakow,40.00 zł,200.00 zł,35.00 zł,18.00 zł,6.65 zł,15.89 zł,9.16 zł,9.63 zł,4.40 zł,5.72 zł,6.47 zł,15.46 zł,33.48 zł,26.31 zł,45.57 zł,5.20 zł,6.94 zł,7.04 zł,11.19 zł,3.66 zł,3.69 zł,4.95 zł,2.85 zł,25.00 zł,4.25 zł,21.00 zł,6.00 zł,150.00 zł,9.00 zł,4.00 zł,49.00 zł,6.00 zł,"119,590.00 zł","113,776.47 zł","1,232.42 zł",35.00 zł,68.50 zł,162.89 zł,91.11 zł,30.00 zł,"1,730.67 zł","40,300.00 zł",305.96 zł,174.16 zł,367.92 zł,441.43 zł,"3,502.63 zł","2,909.52 zł","5,594.12 zł","4,531.25 zł","21,409.52 zł","13,950.09 zł","7,228.87 zł",6.77,,,,,
Macau,50.00 P,450.00 P,50.00 P,46.50 P,16.50 P,42.67 P,10.67 P,7.75 P,24.80 P,13.71 P,13.63 P,25.53 P,140.54 P,62.83 P,183.93 P,25.24 P,23.67 P,29.09 P,22.75 P,35.07 P,27.57 P,15.50 P,9.36 P,99.00 P,11.08 P,50.00 P,6.00 P,180.00 P,21.00 P,10.45 P,120.00 P,14.65 P,"250,000.00 P","223,683.58 P",984.34 P,203.33 P,299.00 P,717.14 P,33.33 P,118.00 P,"9,791.67 P","154,088.05 P",562.00 P,270.00 P,750.00 P,"1,100.00 P","9,020.00 P","8,700.00 P","16,875.00 P","11,700.00 P","101,033.09 P","63,651.60 P","16,620.00 P",3.28,,,,,
Taipei,160.00 NT$,"1,500.00 NT$",175.00 NT$,95.00 NT$,69.24 NT$,106.49 NT$,30.40 NT$,21.14 NT$,94.52 NT$,58.47 NT$,100.76 NT$,82.05 NT$,612.52 NT$,298.70 NT$,632.93 NT$,152.30 NT$,109.57 NT$,97.31 NT$,145.39 NT$,88.57 NT$,70.55 NT$,53.00 NT$,37.88 NT$,475.00 NT$,55.03 NT$,125.00 NT$,25.00 NT$,"1,200.00 NT$",85.00 NT$,25.00 NT$,300.00 NT$,30.47 NT$,"1,068,000.00 NT$","778,238.12 NT$","2,369.25 NT$",548.72 NT$,822.77 NT$,"1,321.47 NT$",525.00 NT$,300.00 NT$,"20,000.00 NT$","516,666.67 NT$","1,906.26 NT$","1,133.08 NT$","2,625.00 NT$","3,533.91 NT$","22,911.40 NT$","15,246.82 NT$","51,922.59 NT$","29,734.93 NT$","453,643.18 NT$","270,468.86 NT$","53,301.66 NT$",2.34,,,,,
Kyoto,"1,500.00 ¥","5,000.00 ¥",800.00 ¥,500.00 ¥,523.33 ¥,533.33 ¥,135.00 ¥,114.83 ¥,250.00 ¥,256.00 ¥,800.90 ¥,338.68 ¥,"1,366.67 ¥","1,000.00 ¥","1,766.67 ¥",800.00 ¥,366.67 ¥,800.00 ¥,566.67 ¥,300.00 ¥,266.67 ¥,183.33 ¥,152.50 ¥,"1,200.00 ¥",251.75 ¥,620.00 ¥,230.00 ¥,"12,932.25 ¥",525.00 ¥,700.00 ¥,?,174.60 ¥,"3,434,000.00 ¥","2,407,300.00 ¥","16,156.25 ¥","3,775.56 ¥","4,875.00 ¥","8,340.00 ¥","3,000.00 ¥","1,950.00 ¥","102,583.33 ¥","1,035,333.33 ¥","8,875.00 ¥","7,258.55 ¥","11,029.83 ¥","16,333.33 ¥","89,265.72 ¥","51,820.00 ¥","281,333.33 ¥","123,333.33 ¥",?,?,"300,029.51 ¥",2.07,,,,,
Istanbul,500.00 TL,"2,400.00 TL",425.00 TL,200.00 TL,156.10 TL,179.22 TL,73.89 TL,26.07 TL,53.95 TL,36.98 TL,103.89 TL,108.60 TL,471.16 TL,264.08 TL,954.36 TL,93.46 TL,105.02 TL,67.68 TL,65.31 TL,24.19 TL,19.57 TL,47.02 TL,26.57 TL,550.00 TL,104.75 TL,100.00 TL,42.00 TL,"2,748.00 TL",54.50 TL,36.00 TL,350.00 TL,56.32 TL,"2,022,000.00 TL","1,993,755.17 TL","3,401.11 TL",509.90 TL,710.55 TL,"2,948.15 TL",892.75 TL,405.00 TL,"44,378.48 TL","972,415.35 TL","2,564.19 TL","1,803.44 TL","4,955.96 TL","4,049.12 TL","47,885.91 TL","28,638.96 TL","88,115.68 TL","53,495.15 TL","145,894.00 TL","75,861.11 TL","53,244.76 TL",42.78,,,,,
Dubai,47.00 AED,300.00 AED,35.00 AED,50.00 AED,11.71 AED,21.60 AED,6.27 AED,3.05 AED,6.83 AED,5.22 AED,9.10 AED,13.30 AED,54.19 AED,30.96 AED,43.18 AED,9.42 AED,6.81 AED,6.83 AED,5.04 AED,3.96 AED,3.67 AED,5.15 AED,2.32 AED,70.00 AED,9.22 AED,22.50 AED,6.00 AED,350.00 AED,12.00 AED,2.50 AED,30.00 AED,2.90 AED,"110,000.00 AED","82,741.18 AED",851.66 AED,208.52 AED,340.07 AED,285.00 AED,183.40 AED,55.00 AED,"3,313.54 AED","61,163.17 AED",284.12 AED,228.24 AED,398.33 AED,395.00 AED,"8,402.75 AED","5,325.00 AED","15,892.12 AED","11,209.52 AED","26,606.75 AED","14,786.53 AED","14,739.92 AED",4.5,,,,,
Antalya,400.00 TL,"1,750.00 TL",400.00 TL,120.00 TL,116.56 TL,167.06 TL,63.33 TL,23.00 TL,45.30 TL,44.50 TL,97.17 TL,107.88 TL,421.47 TL,238.58 TL,839.26 TL,64.98 TL,85.37 TL,43.61 TL,58.21 TL,27.90 TL,20.60 TL,37.47 TL,27.17 TL,315.00 TL,88.07 TL,97.50 TL,35.00 TL,"1,200.00 TL",42.00 TL,30.00 TL,390.00 TL,51.78 TL,"2,098,000.00 TL","1,911,411.36 TL","4,124.81 TL",446.09 TL,621.65 TL,"2,345.86 TL",850.13 TL,262.50 TL,"28,537.99 TL","480,336.41 TL","2,419.80 TL","1,275.31 TL","4,505.28 TL","3,150.00 TL","23,692.31 TL","18,815.66 TL","39,099.83 TL","30,043.20 TL","110,833.33 TL","58,959.52 TL","41,544.27 TL",40.87,,,,,
